FX_Price,FX_Open,FX_High,FX_Low,FX_Change,KSE_Price,KSE_Open,KSE_High,KSE_Low,KSE_Change,Oil_Price,Oil_Open,Oil_High,Oil_Low,Oil_Vol,Oil_Change,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Vol,Gold_Change,SampP_Price,SampP_Open,SampP_High,SampP_Low,SampP_Change
284.3700,285.7250,285.7250,282.1160,-0.0040,47107.8100,46760.8300,47199.5000,46748.7900,0.0080,86.8900,91.0000,91.2000,86.7800,0.0000,-0.0443,1836.8000,1838.7500,1845.9500,1831.7500,0.0000,-0.0026,4263.7500,4233.8300,4268.5000,4220.4800,0.0081
285.5000,287.0000,288.7500,282.0000,-0.0097,46734.0200,46685.9300,46820.7200,46670.7900,0.0015,90.9200,90.4000,91.5600,89.5000,437640.0000,0.0023,1841.5000,1844.9000,1849.3000,1830.9000,216780.0000,-0.0031,4229.4500,4269.7500,4281.1500,4216.4500,-0.0137
288.3000,287.7750,288.7500,283.1800,0.0000,46663.5800,46294.6200,46704.6400,46294.6200,0.0089,90.7100,92.1800,93.3300,90.3500,423480.0000,-0.0483,1847.2000,1864.4000,1864.7000,1842.7000,202150.0000,-0.0101,4288.3900,4284.5200,4300.5800,4260.2100,0.0001
288.3000,288.7500,288.7500,288.7500,0.0000,46457.8000,46379.4550,46587.1200,46236.0600,0.0028,95.3100,95.0700,96.2600,94.9000,12840.0000,-0.0007,1866.1000,1882.3000,1896.7000,1862.3000,245130.0000,-0.0067,4288.0500,4328.1800,4333.1500,4274.8600,-0.0027
288.3000,288.7500,289.5000,284.0000,0.0174,46252.0200,46464.2900,46469.6000,46177.5000,-0.0034,95.3800,96.7400,97.6900,94.7600,91450.0000,-0.0121,1878.6000,1893.3000,1896.8000,1874.5000,231420.0000,-0.0065,4299.7000,4269.6500,4317.2700,4264.3800,0.0059
283.3800,289.8000,289.8000,284.7500,-0.0035,46408.0200,46291.2800,46448.3400,46238.1200,0.0021,96.5500,94.1200,97.0600,94.1000,146720.0000,0.0276,1890.9000,1918.8000,1921.7000,1890.3000,238530.0000,-0.0151,4274.5100,4282.6300,4292.0700,4238.6300,0.0002
284.3800,290.7000,290.7000,286.0000,-0.0202,46308.5400,46399.8800,46503.8200,46258.9600,-0.0018,93.9600,93.2800,94.2100,91.8000,169450.0000,0.0072,1919.8000,1935.1000,1935.5000,1917.2000,212260.0000,-0.0087,4273.5300,4312.8800,4313.0100,4265.9800,-0.0147
290.2500,292.6000,293.3750,287.0000,0.0140,46394.3200,46486.0500,46590.2600,46305.8800,-0.0009,93.2900,93.7500,94.2500,92.5400,177620.0000,0.0002,1936.6000,1944.7000,1946.8000,1933.8000,164260.0000,-0.0046,4337.4400,4310.6200,4338.5100,4302.7000,0.0040
286.2500,293.1250,293.1250,287.8800,-0.0214,46436.4100,46322.3400,46500.4500,46182.0000,0.0028,93.2700,93.3700,94.6400,92.8000,240040.0000,-0.0003,1945.6000,1939.6000,1949.1000,1939.6000,139930.0000,0.0031,4320.0600,4341.7400,4357.4000,4316.4900,-0.0023
292.5000,294.1500,294.6200,288.9500,-0.0034,46304.7300,45917.5000,46309.8000,45733.4400,0.0081,93.3000,93.0800,94.6000,92.2000,314690.0000,-0.0025,1939.6000,1952.0000,1952.2000,1933.1000,225910.0000,-0.0140,4330.0000,4374.3600,4375.7000,4329.1700,-0.0164
293.5000,294.7500,296.9150,290.0000,-0.0034,45932.5200,45947.3900,46035.0900,45808.1100,0.0004,93.5300,94.4900,94.7200,92.7600,330590.0000,-0.0086,1967.1000,1953.0000,1968.9000,1948.6000,220980.0000,0.0069,4402.2000,4452.8100,4461.0300,4401.3800,-0.0094
294.5000,296.3750,296.3750,290.7500,-0.0041,45914.1800,45850.2000,46036.0400,45850.2000,0.0017,94.3400,94.6600,95.9600,94.1600,403400.0000,-0.0010,1953.7000,1955.3000,1958.9000,1950.9000,131100.0000,0.0002,4443.9500,4445.4100,4449.8500,4416.6100,-0.0022
295.7000,296.0000,297.2500,292.2500,-0.0024,45837.4200,45824.4200,45907.0800,45662.7000,0.0018,94.4300,94.2800,94.9500,93.7900,337780.0000,0.0053,1953.4000,1945.7000,1955.7000,1943.8000,138030.0000,0.0037,4453.5300,4445.1300,4466.3600,4442.1100,0.0007
296.4000,298.3750,298.3750,293.2500,-0.0044,45753.5100,45986.5800,46093.0100,45700.6500,0.0023,93.9300,94.0200,94.6300,92.6700,316900.0000,0.0025,1946.2000,1932.5000,1952.4000,1931.2000,199770.0000,0.0069,4450.3200,4497.9800,4497.9800,4447.2100,-0.0122
297.7000,295.2500,299.6750,294.2500,0.0152,45650.0500,45581.7200,45776.9700,45581.4900,0.0013,93.7000,92.0400,94.2100,92.0200,310000.0000,0.0198,1932.8000,1930.7000,1934.5000,1921.7000,201740.0000,0.0002,4505.1000,4487.7800,4511.9900,4478.6900,0.0084
293.2500,299.0500,299.8750,295.2500,-0.0201,45590.9200,45507.7300,45732.7300,45500.2200,0.0018,91.8800,92.0400,92.8400,91.6300,302750.0000,-0.0020,1932.5000,1935.2000,1938.4000,1927.2000,161000.0000,-0.0013,4467.4400,4462.6500,4479.3900,4453.5200,0.0012
299.2500,301.1250,301.1250,296.0000,-0.0042,45508.3900,45902.7200,45902.7200,45468.2700,-0.0078,92.0600,90.6200,92.4000,90.5200,336570.0000,0.0157,1935.1000,1945.6000,1947.5000,1929.9000,161990.0000,-0.0062,4461.9000,4473.2700,4487.1100,4456.8300,-0.0057
300.5000,302.7500,302.7500,297.2500,-0.0202,45865.7300,46071.1900,46174.6900,45678.1500,-0.0032,90.6400,90.8300,91.4500,90.1100,303420.0000,-0.0001,1947.2000,1943.3000,1954.6000,1939.5000,131080.0000,0.0023,4487.4600,4480.9800,4490.7700,4467.8900,0.0067
306.6900,306.4400,307.5150,300.7500,0.0059,46013.4800,45812.7000,46077.3900,45728.8900,0.0056,90.6500,89.7900,91.0200,89.3000,298140.0000,0.0081,1942.7000,1943.8000,1954.0000,1940.8000,138690.0000,0.0001,4457.4900,4451.3000,4473.5300,4448.3800,0.0014
304.8800,307.5000,307.5650,301.3800,-0.0069,45757.2300,45854.2400,46035.8100,45703.5300,-0.0011,89.9200,90.8100,90.8900,89.4600,213020.0000,-0.0075,1942.5000,1942.2000,1947.9000,1940.3000,117170.0000,-0.0009,4451.1400,4434.5500,4457.8100,4430.4600,-0.0032
307.0000,307.8750,307.8750,306.7500,-0.0024,45807.5700,45515.0300,45854.1900,45460.2800,0.0069,90.6000,90.1200,91.1000,89.2500,282910.0000,0.0062,1944.2000,1951.5000,1954.5000,1940.0000,148780.0000,-0.0043,4465.4800,4490.3500,4490.3500,4442.3800,-0.0070
307.7500,306.4400,307.8900,302.8800,0.0061,45491.4800,45825.1200,45950.6800,45417.0000,-0.0047,90.0400,88.9100,91.1500,88.0600,428450.0000,0.0117,1952.6000,1966.7000,1972.6000,1950.6000,192790.0000,-0.0054,4496.8300,4510.0600,4514.2900,4496.0100,-0.0042
305.8800,302.1300,306.5000,302.0000,0.0012,45707.4200,45461.5800,45788.7400,45448.0200,0.0087,89.0000,88.9500,89.2200,88.2600,140670.0000,0.0051,1963.2500,1966.6000,1972.5500,1962.5500,0.0000,-0.0017,4506.3000,4520.3300,4527.7700,4498.6800,-0.0012
305.5000,306.5000,306.5150,305.2500,-0.0016,45312.6500,45005.7400,45358.2900,44795.8200,0.0051,88.5500,86.8200,88.9900,86.7400,380760.0000,0.0195,1967.1000,1966.4000,1980.2000,1960.7000,160730.0000,0.0006,4515.7700,4530.6000,4541.2500,4501.3500,0.0018
306.0000,304.5000,306.5000,302.0000,0.0077,45081.2800,46286.7300,46358.0200,44459.6300,-0.0240,86.8600,86.0000,86.9400,85.7400,11270.0000,0.0116,1965.9000,1970.2000,1974.9000,1965.5000,133710.0000,-0.0036,4507.6600,4517.0100,4532.2600,4507.3900,-0.0016
303.6500,304.2500,304.7000,300.0000,0.0005,46189.7200,46771.1400,46857.8800,46101.3400,-0.0119,85.8600,85.6200,86.2300,85.1100,86740.0000,0.0043,1973.0000,1966.0000,1977.1000,1962.8000,142380.0000,0.0040,4514.8700,4500.3400,4521.6500,4493.5900,0.0038
303.5000,303.6650,304.3900,299.0000,0.0039,46746.0700,47322.4400,47372.0900,46598.2400,-0.0159,85.4900,84.3900,85.6500,83.8000,115360.0000,0.0127,1965.1000,1948.1000,1966.5000,1941.7000,174220.0000,0.0094,4497.6300,4432.7500,4500.1400,4431.6800,0.0145
302.3300,303.1000,303.7650,298.1300,0.0038,47500.7800,47732.7900,47733.5100,47399.2800,-0.0036,84.4200,84.8700,85.2300,84.1100,88350.0000,-0.0007,1946.8000,1944.0000,1954.2000,1940.1000,115550.0000,0.0036,4433.3100,4426.0300,4439.5600,4414.9800,0.0063
301.2000,303.0000,303.1000,296.8500,0.0007,47671.2100,47818.3200,47853.5500,47570.3100,-0.0022,84.4800,83.2600,84.9700,82.6700,230350.0000,0.0134,1939.9000,1944.9000,1950.4000,1931.0000,166990.0000,-0.0037,4405.7100,4389.3800,4418.4600,4356.2900,0.0067
301.0000,299.5000,303.0000,296.5000,0.0052,47774.3000,47463.6800,47994.1900,47463.6800,0.0055,83.3600,82.9500,83.6200,81.9700,253840.0000,0.0018,1947.1000,1944.9000,1951.3000,1939.2000,137390.0000,-0.0005,4376.3100,4455.1600,4458.3000,4375.5500,-0.0135
299.4500,299.5000,299.8900,296.0000,0.0015,47513.1700,47503.3500,47588.2400,47007.6600,0.0020,83.2100,83.9900,84.2600,81.9400,361610.0000,-0.0098,1948.1000,1926.8000,1949.7000,1926.2000,170040.0000,0.0115,4436.0100,4396.4400,4443.1800,4396.4400,0.0110
299.0000,297.8150,299.6400,294.1300,0.0046,47417.9000,47451.6400,47675.2200,47359.1800,-0.0006,84.0300,84.4600,84.6600,83.8500,287350.0000,-0.0051,1926.0000,1924.0000,1933.2000,1917.5000,131090.0000,0.0016,4387.5500,4415.3300,4418.5900,4382.7700,-0.0028
297.6300,297.1250,298.2500,292.4000,0.0047,47447.9500,48141.3100,48234.2600,47432.7200,-0.0160,84.4600,84.8000,85.8600,84.3100,289240.0000,-0.0040,1923.0000,1918.4000,1927.9000,1913.6000,138110.0000,0.0034,4399.7700,4380.2800,4407.5500,4360.3000,0.0069
296.2500,296.5000,297.1400,290.9250,0.0042,48218.4900,48406.4300,48615.1400,48196.1900,-0.0022,84.8000,83.8800,85.0800,83.3300,287970.0000,0.0081,1916.5000,1919.2000,1926.0000,1915.9000,114740.0000,0.0007,4369.7100,4344.8800,4381.8200,4335.3100,-0.0001
295.0000,296.2500,296.5150,290.4900,0.0017,48325.8400,47961.1800,48397.3800,47893.7100,0.0037,84.1200,83.2000,84.8800,83.0500,305580.0000,0.0080,1915.2000,1922.4000,1933.5000,1914.2000,152330.0000,-0.0068,4370.3600,4416.3200,4421.1700,4364.8300,-0.0077
